source,stamp_sec,stamp_nanosec,x,y,z,qx,qy,qz,qw
vins,1776726670,82620078,-0.000113712,0.000557529,-0.000231001,0.000965787,0.00129692,-0.000120315,0.999999
vins,1776726670,99153078,1.67948e-05,0.000474097,-0.000235881,0.000962155,0.00128792,-0.000112923,0.999999
vins,1776726670,115897078,9.7826e-07,0.000489031,-0.000226066,0.000961287,0.00128342,-0.000121009,0.999999
vins,1776726670,165998078,3.44939e-05,0.000497367,-0.000223326,0.000961797,0.00128221,-0.000128653,0.999999
vins,1776726670,182716078,3.78214e-05,0.000498799,-0.000224386,0.000958901,0.00128732,-0.000134981,0.999999
vins,1776726670,199143078,0.000151022,0.000474358,-0.000245011,0.000971115,0.00128539,-0.000122451,0.999999
vins,1776726670,215941078,-4.39486e-05,0.000574153,-0.000198893,0.000971187,0.00129393,-0.000123522,0.999999
vins,1776726670,232639078,-0.000130234,0.000616252,-0.000182494,0.000966804,0.00130448,-0.000131236,0.999999
vins,1776726670,249225078,-9.47606e-05,0.000624208,-0.000211232,0.000955426,0.00128692,-0.000132365,0.999999
vins,1776726670,265962078,-0.00013045,0.000613503,-0.000158435,0.000958025,0.00129146,-0.000128935,0.999999
vins,1776726670,282653078,-2.64674e-05,0.000556585,-0.000173782,0.000959187,0.00129769,-0.000119351,0.999999
vins,1776726670,299162078,-4.41178e-05,0.000483219,-0.000217123,0.000964742,0.00127969,-0.000124297,0.999999
vins,1776726670,315939078,-1.12089e-05,0.000461446,-0.000204105,0.000977535,0.00128574,-0.000128668,0.999999
vins,1776726670,332647078,-1.94096e-05,0.000467562,-0.00021811,0.000972611,0.00129046,-0.000130407,0.999999
vins,1776726670,349269078,9.24815e-05,0.000471558,-0.000241092,0.000972433,0.00127565,-0.000129337,0.999999
vins,1776726670,399281078,5.13606e-05,0.000398078,-0.00032851,0.000953442,0.00126605,-0.000122103,0.999999
vins,1776726670,432724078,0.000117898,0.000413807,-0.00025118,0.000953334,0.00127924,-0.000123342,0.999999
vins,1776726670,449278078,1.33496e-05,0.000490576,-0.00023967,0.000947388,0.0012798,-0.000117463,0.999999
vins,1776726670,466057078,0.00010216,0.000467617,-0.000249106,0.000940793,0.00128435,-0.000124049,0.999999
